"global_id";"ObjectName";"NameWinter";"PhotoWinter";"AdmArea";"District";"Address";"Email";"WebSite";"HelpPhone";"HelpPhoneExtension";"WorkingHoursWinter";"ClarificationOfWorkingHoursWinter";"HasEquipmentRental";"EquipmentRentalComments";"HasTechService";"TechServiceComments";"HasDressingRoom";"HasEatery";"HasToilet";"HasWifi";"HasCashMachine";"HasFirstAidPost";"HasMusic";"UsagePeriodWinter";"DimensionsWinter";"Lighting";"SurfaceTypeWinter";"Seats";"Paid";"PaidComments";"DisabilityFriendly";"ServicesWinter";"geoData";"geodata_center";"geoarea";
"global_id";"Название спортивного объекта";"Название спортивной зоны в зимний период";"Фотография в зимний период";"Административный округ";"Район";"Адрес";"Адрес электронной почты";"Адрес сайта";"Справочный телефон";"Добавочный номер";"График работы в зимний период";"Уточнение графика работы в зимний период";"Возможность проката оборудования";"Комментарии для проката оборудования";"Наличие сервиса технического обслуживания";"Комментарии для сервиса технического обслуживания";"Наличие раздевалки";"Наличие точки питания";"Наличие туалета";"Наличие точки Wi-Fi";"Наличие банкомата";"Наличие медпункта";"Наличие звукового сопровождения";"Период эксплуатации в зимний период";"Размеры в зимний период";"Освещение";"Покрытие в зимний период";"Количество оборудованных посадочных мест";"Форма посещения (платность)";"Комментарии к стоимости посещения";"Приспособленность для занятий инвалидов";"Услуги предоставляемые в зимний период";"geoData";"geodata_center";"geoarea";
"688502373";"Парк Победы на Поклонной горе";"ледяная горка";"1cc63c42-2d0b-4bdf-8c31-534d0dd6305c";"Западный административный округ";"район Дорогомилово";"площадь Победы, дом 3, строение 2";"info@poklonnaya-gora.ru";"wikiway.com/russia/moskva/poklonnaya-gora/";"(499) 148-83-00";"";"понедельник 11:30-22:00,вторник 11:30-22:00,среда 11:30-22:00,четверг 11:30-22:00,пятница 11:30-22:00,суббота 11:30-22:00,воскресенье закрыто";"";"нет";"";"нет";"";"нет";"да";"да";"да";"нет";"нет";"нет";"28.12-12.01";"30 20 1.5";"освещение светодиодными лампами";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.5170644460978,55.7340703123061],""type"":""Point""}";"";"";
"688502507";"Коломенская набережная";"ледяная горка в парке";"02351849-9d22-4dcb-a148-162e77651751";"Южный административный округ";"район Нагатинский Затон";"Коломенская набережная, дом 6, корпус 1";"sportzaton@mail.ru";"uao.mos.ru";"(499) 614-76-21";"";"понедельник 08:00-22:00,вторник 08:00-22:00,среда 08:00-22:00,четверг 08:00-22:00,пятница 08:00-22:00,суббота 08:00-22:00,воскресенье 08:00-22:00";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"32 8 4";"смешанное освещение";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.7086119698401,55.6814079995974],""type"":""Point""}";"";"";
"688502563";"Парк, озелененная городская территория «Парк 850-летия»";"ледяная горка в парке";"820bba53-81fd-4a12-96ae-168bcb485cde";"Юго-Восточный административный округ";"район Марьино";"Поречная улица, дом 13, корпус 1";"park850@mail.ru";"parkseason.ru/parki-moskvi/park-850-letiya-moskvy/";"(495) 657-45-05";"";"понедельник 10:00-22:00,вторник 10:00-22:00,среда 10:00-22:00,четверг 10:00-22:00,пятница 10:00-22:00,суббота 10:00-22:00,воскресенье закрыто";"";"нет";"";"нет";"";"да";"да";"да";"нет";"нет";"нет";"да";"01.11-31.03";"200 20 10";"без дополнительного освещения";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.755768259552,55.6437911867663],""type"":""Point""}";"";"";
"688505643";"Парк народный «Северный Хапиловский сквер»";"ледяная горка";"217321d8-3124-448a-bafc-f6cd9a7ca42c";"Восточный административный округ";"район Преображенское";"улица Преображенский Вал, дом 24, корпус 3";"1505@edu.mos.ru";"www.ukpreobrazhenskoe.ru/";"(499) 161-31-61";"";"понедельник 08:00-22:00,вторник 08:00-22:00,среда 08:00-22:00,четверг 08:00-22:00,пятница 08:00-22:00,суббота 08:00-22:00,воскресенье закрыто";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"7.5 5 1.5";"без дополнительного освещения";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.7152611269444,55.7901750631777],""type"":""Point""}";"";"";
"688505673";"Парк, озелененная городская территория";"ледяная горка в парке";"f56eb8db-23ce-4534-beda-857bceab8f8b";"Южный административный округ";"район Зябликово";"улица Мусы Джалиля, дом 2";"Sozbk@uao.mos.ru";"zyablikovo.mos.ru";"(495) 396-15-76";"";"понедельник 09:00-22:00,вторник 09:00-22:00,среда 09:00-22:00,четверг 09:00-22:00,пятница 09:00-22:00,суббота 09:00-22:00,воскресенье 09:00-22:00";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"12 6 2";"без дополнительного освещения";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.7364110547621,55.6303164446141],""type"":""Point""}";"";"";
"707709392";"Ледяная естественная горка";"Ледяная естественная горка";"2aacd740-b9bf-4447-b1f7-956aa606bcec";"Юго-Восточный административный округ";"район Люблино";"улица Марьинский Парк, дом 41, корпус 1";"";"lublino.mos.ru/";"(495) 657-45-12";"";"понедельник круглосуточно,вторник круглосуточно,среда круглосуточно,четверг круглосуточно,пятница круглосуточно,суббота круглосуточно,воскресенье закрыто";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"30 20 1.5";"без дополнительного освещения";"натуральный снег";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.7934869316611,55.6696248488917],""type"":""Point""}";"";"";
"901350032";"Народный парк «Кожуховский»";"ледяная горка";"311a5496-bb00-4ed7-b8bd-8055132f0e02";"Южный административный округ";"Даниловский район";"улица Лобанова, дом 5";"";"danilovsky.mos.ru";"(495) 952-70-75";"";"понедельник 09:00-22:00,вторник 09:00-22:00,среда 09:00-22:00,четверг 09:00-22:00,пятница 09:00-22:00,суббота 09:00-22:00,воскресенье 09:00-22:00";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"28 14 2";"без дополнительного освещения";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.6630227430355,55.7009142746895],""type"":""Point""}";"";"";
"901350057";"Парк (особо охраняемая природная территория) «Природно-исторический парк «Москворецкий»";"ледяная горка №1";"e0750a91-af7b-40f8-92ec-f9a70525b722";"Западный административный округ";"район Крылатское";"Крылатская улица, дом 28";"mospriroda@eco.mos.ru";"www.mospriroda.ru";"(499) 739-27-05";"";"понедельник 09:00-22:00,вторник 09:00-22:00,среда 09:00-22:00,четверг 09:00-22:00,пятница 09:00-22:00,суббота 09:00-22:00,воскресенье закрыто";"";"да";"тюбинги (бублики, пончики, тобогганы), прокат, платно, зима ";"нет";"";"нет";"нет";"да";"нет";"нет";"нет";"нет";"01.12-31.03";"45 18 2.5";"смешанное освещение";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.4346223950644,55.7711554077791],""type"":""Point""}";"";"";
"901350059";"Парк (особо охраняемая природная территория) «Природно-исторический парк «Москворецкий»";"ледяная горка №2";"c80202ba-7d5d-4cf8-a30b-605f7c484bc5";"Западный административный округ";"район Крылатское";"Крылатская улица, дом 28";"mospriroda@eco.mos.ru";"www.mospriroda.ru";"(499) 739-27-05";"";"понедельник 09:00-22:00,вторник 09:00-22:00,среда 09:00-22:00,четверг 09:00-22:00,пятница 09:00-22:00,суббота 09:00-22:00,воскресенье закрыто";"";"да";"тюбинги (бублики, пончики, тобогганы), прокат, платно, зима ";"нет";"";"нет";"нет";"да";"нет";"нет";"нет";"нет";"01.12-31.03";"45 18 2.5";"смешанное освещение";"натуральный лед";"0";"бесплатно";"";"";"общая физическая подготовка";"{""coordinates"":[37.4131996231111,55.7728854051747],""type"":""Point""}";"";"";
